Record ID,Company name,Customer Code,Matched Customer Name,Match Score,Multiple Codes?
52586100048,"145 Building Supply, INC.",145B,"145 BUILDING SUPPLY, INC.",100.0,
52588695655,1st Commercial Door,1STL,1ST Commercial Door,100.0,
52580835987,4G Doors Frames & Hdwe,4GDM,4G DOORS FRAMES & HDWE,100.0,
52583776588,"4T Door Systems, INC.",4TDO,"4T DOOR SYSTEMS, INC.",100.0,
52583158958,84 Lumber CO.,84LU,84 LUMBER CO.,100.0,
52578587919,"A & C Builders Hdwe., INC",ACBU,"A & C BUILDERS HDWE., INC",100.0,
52574649625,A & F Wood Products,AFWO,A & F WOOD PRODUCTS,100.0,
52569633557,A & L Doors and Hardware,ALDH,A & L DOORS AND HARDWARE,100.0,
52572791189,A & L Doors Specialties,ALDO,A & L DOORS SPECIALTIES,100.0,
52575799925,"A O, INC.",AOIN,"A O, INC.",100.0,
52598441525,A-1 Doors Frames and Hdwe,ADFH,A-1 DOORS FRAMES AND HDWE,100.0,
52576883247,A. C. Mcguire-rochester,ACMC,A. C. McGUIRE-ROCHESTER,100.0,
52577658177,A. G. Mauro CO.,AGMA,A. G. MAURO CO.,100.0,
52582383906,A.G. Mauro Company - PA,AGPA,A.G. MAURO COMPANY - PA,100.0,
52594885434,"A.T. Jones & Son, INC.",ATJO,"A.T. JONES & SON, INC.",100.0,
52566686011,Aa Doors & Hardware,AADP,AA DOORS & HARDWARE,100.0,
52577503906,Aa Jacobs Supply,AAJI,AA Jacobs Supply,100.0,
52562982035,Ab Special(old Acct Don't Use),ABSP,AB SPECIAL(OLD ACCT DON'T USE),100.0,
52604189245,Ab Specialties INC.,ABPP,AB SPECIALTIES INC.,100.0,
52579207742,Abc Door Company,ABCD,ABC DOOR COMPANY,100.0,
52582229923,Abco Door Industries,ABCO,ABCO DOOR INDUSTRIES,100.0,
52594885433,Abh Mfg,ABHI,ABH MFG,100.0,YES
52594885433,Abh Mfg,ABHM,ABH MFG,100.0,YES
52581146156,Ablelite,ABLE,ABLELITE,100.0,
52583622058,"Abs Sales Company, INC.",ABSS,"ABS SALES COMPANY, INC.",100.0,
52607435110,Accent Arch. Millworks,AAMI,ACCENT ARCH. MILLWORKS,100.0,
52574649629,"Access Window,door & Hdwe",ACCE,"ACCESS WINDOW,DOOR & HDWE",100.0,
52594732689,Accurate Door & Hardware,ACDH,ACCURATE DOOR & HARDWARE,100.0,
52604035852,Accurate Door & Hdwe,ACNJ,ACCURATE DOOR & HDWE,100.0,
52608670649,"Accurate Woodworking,inc.",ACCU,"ACCURATE WOODWORKING,INC.",100.0,
52589005446,Ace Fire Door CORP.,ACEF,ACE FIRE DOOR CORP.,100.0,
52608825421,Acme & Dorf Door CORP.,ADNJ,ACME & DORF DOOR CORP.,100.0,
52575645352,"Acme Arch. Hardware, INC.",AHHT,"ACME ARCH. HARDWARE, INC.",100.0,
52567150432,Acme Architectural Prod.,ACME,ACME ARCHITECTURAL PROD.,100.0,
52607897624,"Acme Garage Door CO., INC",AGDC,"ACME GARAGE DOOR CO., INC",100.0,
52583001970,Acme Lock and Door,ALAD,ACME LOCK AND DOOR,100.0,
52598441530,Acoustical Distributors,ACOU,ACOUSTICAL DISTRIBUTORS,100.0,
52565911207,Action Gypsum Supply,AGST,ACTION GYPSUM SUPPLY,100.0,
52596742177,Ad Systems,ADSW,AD SYSTEMS,100.0,
52581609066,"Adbuyco, LLC",ALMD,"ADBUYCO, LLC",100.0,
52580989108,Adcock Henges,ADCO,ADCOCK HENGES,100.0,
52578587924,Adelman Lumber CO.,ADEL,ADELMAN LUMBER CO.,100.0,
52567615374,Advance Arch Door & Hdwe,AADH,ADVANCE ARCH DOOR & HDWE,100.0,
52584860435,Advance Fireproof Door IN,AFDI,ADVANCE FIREPROOF DOOR IN,100.0,
52583313494,Advanced Door & Hardware,CDIL,ADVANCED DOOR & HARDWARE,100.0,
52591637611,Advanced Door Solutions,ADVN,Advanced Door Solutions,100.0,
52572791192,Advanced Door Specialties,ADVA,ADVANCED DOOR SPECIALTIES,100.0,
52578432569,Airtec Corporation,AIRT,AIRTEC CORPORATION,100.0,
52579207743,Alamo Bldg. Specialties,OVSA,ALAMO BLDG. SPECIALTIES,100.0,
52588076564,Alco Building Products CO,ALCO,ALCO BUILDING PRODUCTS CO,100.0,
52608052374,Algoma Express-ca,AMDW,ALGOMA EXPRESS-CA,100.0,
52563601794,Algoma Express-fred.,AMFV,ALGOMA EXPRESS-FRED.,100.0,
52589779812,Algoma Express-marlton,AMAD,ALGOMA EXPRESS-MARLTON,100.0,
52594113123,Algoma Express-tn,APPA,ALGOMA EXPRESS-TN,100.0,
52585480053,Algoma Express-tx,AMTX,ALGOMA EXPRESS-TX,100.0,
52575268728,All Good Commercial Doors,AGDF,All Good Commercial Doors,100.0,
